Nama Variabel,Format,Deskripsi/Label,Nilai
id,"Numeric
Width=3",nomor partisipan,
kon1,"Numeric
Width=1","Konservatif: Dibandingkan era Reformasi, pemerintah Orde Baru lebih berhasil mengelola negara","1: Sangat SEJALAN dengan pendapat saya
7: Sangat SEJALAN dengan pendapat saya"
kon2,"Numeric
Width=1","Konservatif: Secara umum, saya menilai Suharto adalah presiden yang paling berhasil diantara presiden-presiden lainnya",
kon3,"Numeric
Width=1","Konservatif: Agar terbentuk pemerintahan yang kuat, TNI harus lebih banyak terlibat dalam mengelola pemerintahan",
kon4,"Numeric
Width=1",Konservatif: Saya lebih menyukai tokoh berlatar belakang militer untuk menjadi kepala daerah/negara,
kon5,"Numeric
Width=1",Konservatif: Negara seharusnya terus menyediakan subsidi energi (BBM & listrik) untuk masyarakat,
kon6,"Numeric
Width=1",Konservatif: Negara seharusnya mengatur siapa yang diprioritaskan mendapatkan pekerjaan dengan membatasi masuknya tenaga kerja asing,
kon7,"Numeric
Width=1","Konservatif: Tidak ada alasan untuk menambah utang luar negeri, meskipun negara membutuhkannya untuk membiayai pembangunan",
kon8,"Numeric
Width=1","Konservatif: Pemerintah tidak boleh membatasi aktivitas ormas yang ditengarai radikal, khususnya ormas keagamaan selama ormas tersebut tidak melanggar hukum",
kon9,"Numeric
Width=1","Konservatif: Melihat berbagai fenomena yang terjadi akhir-akhir ini, saya yakin sebenarnya Partai Komunis Indonesia (PKI) masih ada sampai saat ini dan dapat bangkit kembali sewaktu-waktu",
kon10,"Numeric
Width=1",Konservatif: Saya kurang setuju apabila seseorang yang berasal dari kelompok minoritas menjadi kepala daerah/negara,
kon11,"Numeric
Width=1",Konservatif: Nilai-nilai agama tidak boleh dipisahkan dari politik,
kon12,"Numeric
Width=1",Konservatif: Pemerintah harus mengakomodasi kepentingan umat mayoritas (Islam) diatas umat beragama yang lain,
kon13,"Numeric
Width=1",Konservatif: Orang yang menistakan agama harus dihukum berat,
kon14,"Numeric
Width=1","Konservatif: Dalam pemilihan umum, saya akan cenderung memilih kandidat yang mewakili kepentingan kelompok mayoritas (Islam)",
kon15,"Numeric
Width=1",Konservatif: Keputusan/kebijakan yang diambil oleh politisi terlalu banyak didikte oleh kepentingan orang-orang Tionghoa,
kon16,"Numeric
Width=1",Konservatif: Orang-orang Tionghoa terlalu dominan menguasai perekonomian di Indonesia,
kon17,"Numeric
Width=1",Konservatif: Radikalisme agama dan penggantian dasar Negara menjadi syariat Islam adalah isu yang sengaja dibesar-besarkan pemerintah untuk menjelekkan orang-orang Islam,
nas1,"Numeric
Width=1","Nasionalis: Dibandingkan era Orde Baru, pemerintahan setelah Reformasi lebih berhasil mengelola negara","1: Sangat SEJALAN dengan pendapat saya
7: Sangat SEJALAN dengan pendapat saya"
nas2,"Numeric
Width=1","Nasionalis: Secara umum, saya menilai Suharto adalah presiden yang terburuk diantara presiden-presiden lainnya",
nas3,"Numeric
Width=1","Nasionalis: Agar terbentuk pemerintahan yang kuat, TNI tidak boleh terlalu banyak terlibat dalam mengelola pemerintahan",
nas4,"Numeric
Width=1",Nasionalis: Saya lebih menyukai tokoh sipil (non-militer) untuk menjadi kepala daerah/negara,
nas5,"Numeric
Width=1","Nasionalis: Subsidi energi membuat masyarakat menjadi malas, sehingga subsidi seharusnya dialokasikan untuk pembangunan",
